lesson,task_id,type,question,correct,wrong1,wrong2
1,1,test,Nemis alifbosida nechta harf bor?,30,26,29
1,2,test,Nemis tilida nechta umlaut mavjud?,3,2,4
1,3,test,Quyidagilardan qaysi biri umlaut hisoblanadi?,Ä,ß,Q
1,4,test,Nemis tilida nechta asosiy unli harf bor?,5,6,4
1,5,test,Nemis tilida nechta undosh harf bor?,21,24,18
1,6,test,W harfi qanday o'qiladi?,v,w,f
1,7,test,Z harfi qanday o'qiladi?,ts,z,s
1,8,test,ß harfi qanday o'qiladi?,ss,sh,b
1,9,test,Q harfi qanday o'qiladi?,kv,kvv,k
1,10,test,C harfi e yoki i dan oldin qanday o'qiladi?,ts,k,s
1,11,test,sch birikmasi qanday o'qiladi?,sh,sch,ch
1,12,test,sp birikmasi qanday o'qiladi?,shp,sp,sht
1,13,test,st birikmasi qanday o'qiladi?,sht,st,sh
1,14,test,ei birikmasi qanday o'qiladi?,ay,oy,ii
1,15,test,eu birikmasi qanday o'qiladi?,oy,ay,au
1,16,test,au birikmasi qanday o'qiladi?,au,oy,ay
1,17,test,ie birikmasi qanday o'qiladi?,ii,ie,ay
1,18,test,V harfi ko'pincha qanday o'qiladi?,f,v,w
1,19,test,J harfi nemischa so'zlarda qanday o'qiladi?,y,j,g
1,20,test,Quyidagilardan qaysi biri umlaut emas?,Q,Ä,Ü
